"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1812281",1.66671081392949,0.403134620587302,6.88289183232304,2.20072999977768e-09,6.63588018698394e-07,11.2504823113122
"ILMN_1803819",1.02234374383333,0.0163605253015873,6.54105427648402,9.05644083368173e-09,1.70149623786033e-06,9.8977316779066
"ILMN_1790689",1.04453560342949,0.0841652420634921,6.07799660766784,6.01305267983171e-08,6.49835392266414e-06,8.08908112853157
"ILMN_1807529",1.01459830959936,-0.0592318327777778,6.07553504243214,6.07333719672395e-08,6.53458976620201e-06,8.07955693409127
"ILMN_1796316",1.40277928769551,0.232293119888889,5.88242535254417,1.32389310268405e-07,1.15481304071269e-05,7.33585812967752
"ILMN_1687301",1.06172898842628,0.12787885531746,5.54478229054821,5.08030574749539e-07,3.0412104798242e-05,6.05404116874789
"ILMN_1715131",-1.06636812332051,-0.256248669936508,-5.48031155314887,6.54880518523649e-07,3.71972134521433e-05,5.81230173267618
"ILMN_1695157",1.08515573560577,0.126971891047619,5.05541136422302,3.39900433790401e-06,0.000127718895306104,4.24726821820106
"ILMN_1748915",1.23535872919231,-0.173918385857143,4.87435210048148,6.74991430606365e-06,0.000219228599749067,3.59703406246328
"ILMN_1684585",1.08664935454487,-0.110743597079365,4.85374806053547,7.29323203802269e-06,0.000234141083121442,3.52373587640486
"ILMN_1730454",1.08271482321474,0.0498483464603174,4.60930713283365,1.8075103724248e-05,0.000469645035490462,2.6657649313018
"ILMN_1703049",1.12285237029808,0.252320782333333,4.56943800254505,2.09174244023329e-05,0.000527776005787788,2.52795222351313
"ILMN_1724533",1.11099794684615,-0.105601629571429,4.51411884960457,2.55915110267722e-05,0.000608022437079653,2.33777020184589
"ILMN_1696584",1.16747129171795,0.172314460444444,4.03051295709491,0.000141724757050038,0.00228480888857435,0.730631673836385
"ILMN_2134453",1.16065119209615,0.0757594967619049,3.57615843235987,0.000643701842754781,0.00740894147381846,-0.67653336965517
"ILMN_1680192",1.14995736541667,0.112373968650794,3.46638548704992,0.000913662490000464,0.00982964561897335,-0.999681062368795
"ILMN_2173835",1.05731723398397,0.21978682931746,2.92089143810318,0.00471773639689049,0.0363488939298591,-2.49662935245125
